"","species","maxheight","seedmass","SLA","woody","flowering.period","lifehistory","growthform"
"1","Abrophyllum ornans",8,0.05,11.06,1,0.25,1,"S/T"
"3","Acacia dealbata subsp. dealbata",30,12.54,16.24,1,0.416666667,1,"T"
"4","Acacia falciformis",10,42.8,6.04,1,0.333333333,1,"S/T"
"5","Acacia fimbriata",6,17,5.12,1,0.416666667,1,"S/T"
"6","Acacia floribunda",8,7.08,9.88,1,0.333333333,1,"S/T"
"7","Acacia implexa",12,20.33,7.78,1,0.416666667,1,"T"
"8","Acacia irrorata subsp. irrorata",12,11.4,10.05,1,0.25,1,"S/T"
"9","Acacia leiocalyx subsp. leiocalyx",6,10.71,9.86,1,0.416666667,1,"S/T"
"10","Acacia maidenii",20,13.1,8.96,1,0.5,1,"T"
"11","Acacia mearnsii",10,13.2,9.74,1,0.25,1,"S/T"
"12","Acacia melanoxylon",30,14.62,8.33,1,0.5,1,"T"
"13","Acacia pravissima",8,8.4,9.34,1,0.25,1,"S/T"
"14","Acaena novae-zelandiae",0.3,1.61,17.7,0,0.25,1,"H"
"15","Acetosella vulgaris",0.5,0.7,17.5,0,0.416666667,1,"H"
"16","Acmena smithii",5,81.02,11.77,1,0.333333333,1,"S/T"
"17","Acronychia oblongifolia",27,5.88,13.48,1,0.25,1,"S/T"
"20","Alectryon subcinereus",8,104.17,13.35,1,0.25,1,"S/T"
"21","Alphitonia excelsa",25,18.2,9.06,1,0.333333333,1,"T"
"22","Anagallis arvensis",0.3,0.5,22.48,0,0.25,1,"H"
"23","Angophora subvelutina",20,7.26,8.38,1,0.5,1,"T"
"25","Aristida ramosa",1.2,0.86,9.44,0,0.25,1,"G"
"31","Astroloma humifusum",0.5,61.56,10.49,1,1,0,"S"
"33","Backhousia myrtifolia",30,13.01,11.97,1,0.166666667,1,"S/T"
"34","Banksia integrifolia subsp. monticola",25,13.67,17.1,1,0.25,1,"T"
"35","Bedfordia arborescens",5,0.74,14.26,1,0.25,1,"S/T"
"37","Beyeria viscosa",4,32.14,21.51,1,0.25,1,"S"
"38","Bidens pilosa",1,2.1,62.12,0,0.5,0,"H"
"39","Bidens subalternans",1.6,3.55,38.89,0,0.5,0,"H"
"45","Bothriochloa macra",1,1.3,24.61,0,0.25,1,"G"
"48","Breynia oblongifolia",3,7.83,15.76,1,0.5,1,"S"
"49","Bromus catharticus",1,7.7,27.23,0,0.25,1,"G"
"50","Bursaria spinosa subsp. lasiophylla",5,1.48,5.8,1,0.25,1,"S"
"51","Bursaria spinosa subsp. spinosa",10,1.48,8.76,1,0.5,1,"S/T"
"52","Callistemon subulatus",1,0.04,5.51,1,0.25,1,"S"
"57","Carduus tenuiflorus",1.5,3.5,12.28,0,0.166666667,0,"H"
"58","Carex appressa",1.2,0.84,14.57,0,0.5,1,"SRG"
"61","Carex inversa",0.5,0.37,20.69,0,0.5,1,"SRG"
"62","Carex longebrachiata",0.8,1.38,15.52,0,0.5,1,"SRG"
"63","Carex polyantha",0.8,1.25,17.08,0,0.5,1,"SRG"
"68","Cassinia aculeata",2.5,0.07,13.8,1,0.5,1,"S"
"69","Cassinia longifolia",2.5,0.03,7.96,1,0.5,1,"S"
"70","Cassinia trinerva",8,0.18,20.63,1,0.5,1,"S/T"
"73","Casuarina cunninghamiana",35,0.63,1.41,1,0.166666667,1,"T"
"74","Casuarina glauca",20,1.14,4.69,1,0.166666667,1,"T"
"76","Centaurium erythraea",0.5,0.01,14.1,0,1,1,"H"
"77","Centaurium tenuiflorum",0.4,0.01,13.57,0,0.5,0,"H"
"78","Centella asiatica",0.2,1.5,47.03,0,0.5,1,"C"
"79","Ceratopetalum apetalum",25,17.09,12.07,1,0.5,1,"T"
"80","Cirsium vulgare",1.5,2.64,12.65,0,0.416666667,0,"H"
"85","Commelina cyanea",0.2,17.5,54.11,0,0.75,1,"C"
"86","Commersonia fraseri",8,6.06,23.49,1,0.25,1,"S/T"
"88","Conyza bonariensis",1,0.1,20.95,0,1,0,"H"
"89","Conyza parva",0.5,0.07,22.75,0,0.5,0,"H"
"90","Conyza sumatrensis",2,0.04,13.87,0,0.75,0,"H"
"91","Coprosma hirtella",2,37.04,6.11,1,0.25,0,"S"
"92","Coprosma quadrifida",4,10.57,34.41,1,0.25,0,"S"
"95","Cryptocarya glaucescens",35,323.99,10.35,1,0.25,1,"T"
"104","Dianella caerulea",0.75,7.1,17.21,0,0.5,1,"SRG"
"105","Dianella caerulea var. producta",0.75,7.1,10.86,0,0.5,1,"SRG"
"106","Dianella longifolia var. stenophylla",0.8,3.26,13.14,0,0.5,1,"SRG"
